author	id
Amy Smart	461
Amy Tan	462
Amy Waldman	463
Amy Weber	464
Amy Winehouse	465
An Wang	466
Ana Ortiz	467
Anacharsis	468
Anacreon	469
Anais Nin	470
Anatole Broyard	471
Anatole France	472
Anatoli Boukreev	473
Anatoly Chubais	474
Anatoly Karpov	475
Anaxagoras	476
Anders Fogh Rasmussen	477
Anderson Cooper	478
Andie MacDowell	479
Andre Agassi	480
Andre Benjamin	481
Andre Braugher	482
Andre Breton	483
Andre Dubus III	484
Andre Gide	485
Andre Malraux	486
Andre Maurois	487
Andre Norton	488
Andre Rieu	489
Andrea Arnold	490
Andrea Corr	491
Andrea Dworkin	492
Andrea Jung	493
Andrea Martin	494
Andrea McLean	495
Andrea Mitchell	496
Andrea Riseborough	497
Andrea Thompson	498
Andrei A. Gromyko	499
Andrei Platonov	500
Andrei Sakharov	501
Andrej Pejic	502
Andres Iniesta	503
Andres Segovia	504
Andrew Bernstein	505
Andrew Bird	506
Andrew Bogut	507
Andrew Brown	508
Andrew Card	509
Andrew Carnegie	510
Andrew Cohen	511
Andrew Coyle Bradley	512
Andrew Cuomo	513
Andrew Davies	514
Andrew Denton	515
Andrew Dost	516
Andrew Eldritch	517
Andrew Greeley	518
Andrew Gross	519
Andrew Jack	520
Andrew Jackson	521
Andrew Johnson	522
Andrew Lincoln	523
Andrew Lloyd Webber	524
Andrew Lo	525
Andrew Marvell	526
Andrew Mason	527
Andrew Motion	528
Andrew P. Harris	529
Andrew Rannells	530
Andrew Shue	531
Andrew Stanton	532
Andrew Sullivan	533
Andrew Thomas	534
Andrew Tobias	535
Andrew Vachss	536
Andrew Weil	537
Andrew Wiles	538
Andrew Wyeth	539
Andrew Young	540
Andriy Shevchenko	541
Andy Cohen	542
Andy Dick	543
Andy Gibb	544
Andy Goldsworthy	545
Andy Grammer	546
Andy Griffith	547
Andy Grove	548
Andy Hertzfeld	549
Andy Kaufman	550
Andy Milonakis	551
Andy Murray	552
Andy Partridge	553
Andy Richter	554
Andy Roddick	555
Andy Rooney	556
Andy Samberg	557
Andy Sawford	558
Andy Serkis	559
Andy Stern	560
Andy Summers	561
Andy Taylor	562
Andy Wachowski	563
Andy Warhol	564
Andy Williams	565
Aneurin Bevan	566
Ang Lee	567
Angela Bassett	568
Angela Carter	569
Angela Cartwright	570
Angela Davis	571
Angela Kinsey	572
Angela Merkel	573
Angela Ruggiero	574
Angela Sarafyan	575
Angelina Grimke	576
Angelina Jolie	577
Angelo Scola	578
Angie Dickinson	579
Angie Everhart	580
Angie Harmon	581
Angie Stone	582
Angus T. Jones	583
Angus Wilson	584
Angus Young	585
Ani DiFranco	586
Anil Kapoor	587
Anish Kapoor	588
Anita Baker	589
Anita Borg	590
Anita Brookner	591
Anita Desai	592
Anita Diament	593
Anita Ekberg	594
Anita Hill	595
Anita Roddick	596
Anjelica Huston	597
Ann Bancroft	598
Ann Beattie	599
Ann Brashares	600
Ann Coulter	601
Ann Curry	602
Ann Druyan	603
Ann Landers	604
Ann Oakley	605
Ann Plato	606
Ann Richards	607
Ann Robinson	608
Ann Romney	609
Ann Rule	610
Ann Veneman	611
Ann Wilson	612
Ann-Margret	613
Anna Akhmatova	614
Anna Benson	615
Anna Chlumsky	616
Anna Deavere Smith	617
Anna Eshoo	618
Anna Freud	619
Anna Friel	620
Anna Garlin Spencer	621
Anna Held	622
Anna Howard Shaw	623
Anna Jameson	624
Anna Julia Cooper	625
Anna Katharine Green	626
Anna Kendrick	627
Anna Kournikova	628
Anna Lee	629
Anna Letitia Barbauld	630
Anna Lindh	631
Anna Louise Strong	632
Anna Magnani	633
Anna Neagle	634
Anna Nicole Smith	635
Anna Paquin	636
Anna Pavlova	637
Anna Quindlen	638
Anna Sewell	639
Anna Sui	640
Anna Torv	641
Annabella Sciorra	642
AnnaLynne McCord	643
AnnaSophia Robb	644
Anne Archer	645
Anne Bancroft	646
Anne Baxter	647
Anne Boleyn	648
Anne Boyd	649
Anne Bradstreet	650
Anne Bronte	651
Anne Burrell	652
Anne Campbell	653
Anne Ford	654
Anne Frank	655
Anne Grant	656
Anne Hathaway	657
Anne Heche	658
Anne Lamott	659
Anne M. Mulcahy	660
Anne McCaffrey	661
Anne Morrow Lindbergh	662
Anne Perry	663
Anne Rice	664
Anne Robinson	665
Anne Roiphe	666
Anne Sexton	667
Anne Spencer	668
Anne Stevenson	669
Anne Sullivan	670
Anne Sullivan Macy	671
Anne Tyler	672
Anne Wilson Schaef	673
Annette Bening	674
Annette Funicello	675
Annie Besant	676
Annie Dillard	677
Annie Gottlieb	678
Annie Jump Cannon	679
Annie Leibovitz	680
Annie Lennox	681
Annni-Frid Lyngstad	682
Anouk Aimee	683
Ansel Adams	684
Anselm Kiefer	685
Anson Mount	686
Anthea Turner	687
Anthony Anderson	688
Anthony Burgess	689
Anthony Caro	690
Anthony Collins	691
Anthony Daniels	692
Anthony de Mello	693
Anthony Doerr	694
Anthony Edwards	695
Anthony Foxx	696
Anthony Hamilton	697
Anthony Hecht	698
Anthony Hitt	699
Anthony Holden	700
Anthony Hope	701
Anthony Hopkins	702
Anthony Horowitz	703
Anthony J. D'Angelo	704
Anthony Kiedis	705
Anthony LaPaglia	706
Anthony Mackie	707
Anthony Michael Hall	708
Anthony Minghella	709
Anthony Principi	710
Anthony Quinn	711
Anthony Storr	712
Anthony Trollope	713
Anthony Wayne	714
Anthony Weiner	715
Antisthenes	716
Antoine de Saint-Exupery	717
Antoine Rivarol	718
Anton Chekhov	719
Anton Seidl	720
Anton Yelchin	721
Antonia Fraser	722
Antonin Artaud	723
Antonin Scalia	724
Antonio Banderas	725
Antonio Gala	726
Antonio Gaudi	727
Antonio Gramsci	728
Antonio Porchia	729
Antonio Tabucchi	730
Antonio Villaraigosa	731
Antony Sher	732
Anwar Robinson	733
Anwar Sadat	734
Aphra Behn	735
April Bowlby	736
April Greiman	737
April Winchell	738
Arabella Weir	739
Aravind Adiga	740
Archibald Alexander	741
Archibald MacLeish	742
Archibald McLeish	743
Archibald Wavell	744
Archie Panjabi	745
Archie Shepp	746
Archilochus	747
Archimedes	748
Aretha Franklin	749
Ari Fleischer	750
Ari Graynor	751
Ariana Grande	752
Arianna Huffington	753
Ariel Dorfman	754
Ariel Sharon	755
Ariel Winter	756
Aristophanes	757
Aristotle	758
Aristotle Onassis	759
Arizona Muse	760
Arlen Specter	761
Arlie Russell Hochschild	762
Arlo Guthrie	763
Armand Assante	764
Armie Hammer	765
Armistead Maupin	766
Armstrong Williams	767
Arna Bontemps	768
Arne Duncan	769
Arne Jacobsen	770
Arnold Bennett	771
Arnold H. Glasow	772
Arnold J. Toynbee	773
Arnold Newman	774
Arnold Palmer	775
Arnold Rothstein	776
Arnold Schwarzenegger	777
Aron Ralston	778
Arsene Wenger	779
Arsenio Hall	780
Art Blakey	781
Art Buchwald	782
Art Garfunkel	783
Art Linkletter	784
Art Spiegelman	785
Arthur Ashe	786
Arthur Baer	787
Arthur Balfour	788
Arthur Blank	789
Arthur Bloch	790
Arthur Boyd	791
Arthur Bremer	792
Arthur C. Brooks	793
Arthur C. Clarke	794
Arthur C. Danto	795
Arthur C. Nielsen	796
Arthur Cayley	797
Arthur Cohn	798
Arthur Conan Doyle	799
Arthur E. Waite	800
Arthur Eddington	801
Arthur Erickson	802
Arthur Godfrey	803
Arthur Golden	804
Arthur H. Compton	805
Arthur Hailey	806
Arthur Helps	807
Arthur Henderson	808
Arthur Hiller	809
Arthur Holly Compton	810
Arthur Hugh Clough	811
Arthur Keith	812
Arthur Koestler	813
Arthur Laffer	814
Arthur Levitt	815
Arthur M. Schlesinger	816
Arthur M. Schlesinger, Jr.	817
Arthur Machen	818
Arthur Miller	819
Arthur O'Shaughnessy	820
Arthur Peacocke	821
Arthur Rimbaud	822
Arthur Rock	823
Arthur Rubinstein	824
Arthur Scargill	825
Arthur Schopenhauer	826
Arthur Smith	827
Arthur Symons	828
Arthur Wellesley	829
Arthur Wing Pinero	830
Arthur Young	831
Artie Lange	832
Arto Lindsay	833
Artur Davis	834
Arundhati Roy	835
Asa Gray	836
ASAP Rocky	837
Asghar Farhadi	838
Ashlee Simpson	839
Ashley Benson	840
Ashley Greene	841
Ashley Judd	842
Ashley Madekwe	843
Ashley Montagu	844
Ashley Olsen	845
Ashley Rickards	846
Ashley Scott	847
Ashley Smith	848
Ashley Tisdale	849
Ashthon Jones	850
Ashton Eaton	851
Ashton Kutcher	852
Atal Bihari Vajpayee	853
Athanasius	854
Athenaeus	855
Atifete Jahjaga	856
Ato Boldon	857
Atom Egoyan	858
Atticus Shaffer	859
Aubrey O'Day	860
Aubrey Plaza	861
Audie Murphy	862
Audre Lorde	863
Audrey Hepburn	864
Audrey Meadows	865
Audrey Tautou	866
August Strindberg	867
August Wilson	868
Auguste Comte	869
Auguste Renoir	870
Auguste Rodin	871
Augusten Burroughs	872
Augustine Birrell	873
Augustine of Hippo	874
Augustus Hare	875
Augustus Saint-Gaudens	876
Augustus Y. Napier	877
Aulis Sallinen	878
Aulus Persius Flaccus	879
Aung San Suu Kyi	880
Ausonius	881
Austin Butler	882
Austin Farrer	883
Austin O'Malley	884
Ava Gardner	885
Avery Brooks	886
Avery Brundage	887
Avi Arad	888
Avicenna	889
Avril Lavigne	890
Axel Munthe	891
Axl Rose	892
Ayelet Waldman	893
Ayn Rand	894
Ayrton Senna	895
Ayumi Hamasaki	896
Azar Nafisi	897
Aziz Ansari	898
B. B. King	899
B. C. Forbes	900
B. F. Skinner	901
B. H. Liddell Hart	902
B. J. Novak	903
B. R. Ambedkar	904
B. R. Hayden	905
Baal Shem Tov	906
Babatunde Olatunji	907
Babe Ruth	908
Bai Ling	909
Bainbridge Colby	910
Baldwin Spencer	911
Baltasar Gracian	912
Balthazar Getty	913
Bam Margera	914
Banksy	915
Bar Refaeli	916
Barack Obama	917
Barbara Amiel	918
Barbara Billingsley	919
Barbara Boxer	920
Barbara Broccoli	921
Barbara Bush	922
Barbara Cartland	923
Barbara Castle	924
Barbara Cook	925
Barbara Corcoran	926
Barbara de Angelis	927
Barbara Deming	928
Barbara Ehrenreich	929
Barbara Feldon	930
Barbara Grizzuti Harrison	931
Barbara Januszkiewicz	932
Barbara Johnson	933
Barbara Jordan	934
Barbara Kingsolver	935
Barbara Kruger	936
Barbara Lee	937
Barbara Mandrell	938
Barbara McClintock	939
Barbara Mikulski	940
Barbara Olson	941
Barbara Pym	942
Barbara Sher	943
Barbara Smith	944
Barbara Tuchman	945
Barbara Walters	946
Barbet Schroeder	947
Barbra Streisand	948
Barney Frank	949
Barney Oliver	950
Barney Ross	951
